trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
2020-04-02 04:30:26,5234842739488639,"fraud_Stanton, Kihn and Kuhlman",food_dining,99.55,Mary,Johnson,M,2969 Williams St,Dallas,TX,48467,30.4567,-103.73,1343573,Engineer,1955-04-03,e2cab88bba,1585782026,30.3233,-103.583,0
2019-01-23 22:58:29,9208635582093063,"fraud_Heller, Moore and Reinger",grocery_net,127.43,Michael,Smith,M,7122 Smith St,Phoenix,AZ,50764,36.4814,-91.3998,1680992,Nurse,1996-01-24,7a07e1677b,1548264509,36.4997,-91.5885,0
2019-11-17 07:28:23,9677208651064435,"fraud_Rempel, Gohan and Kertzmann",entertainment,29.16,Robert,Johnson,F,1916 Wilson St,Philadelphia,PA,76105,46.3904,-116.4792,1584064,Writer,2000-11-17,7efae687a0,1573955903,46.2529,-116.5158,0
2019-10-15 14:57:57,2010873193121585,fraud_Glover-Hansen,kids_pets,13.16,Barbara,Davis,F,8092 Brown St,Houston,TX,12368,26.6316,-100.1608,2320268,Accountant,1939-10-15,6c9c78b832,1571131677,26.4532,-100.0794,0
2020-07-20 10:19:42,5636846853170867,fraud_Adams-Frazier,health_fitness,1290.61,Jennifer,Miller,F,2591 Jones St,New York,NY,90135,42.7099,-109.2089,8336817,Doctor,1948-07-20,bf02580733,1595220582,42.6836,-109.162,0
2019-02-09 02:46:09,6984909939914514,fraud_Bauch-Goldner,personal_care,14.65,Barbara,Jones,F,6049 Davis St,Dallas,TX,84740,26.3385,-74.2393,1343573,Nurse,2001-02-09,26ccbd1cbc,1549660569,26.394,-74.0935,0
2020-01-07 18:51:42,3199681914439311,fraud_Bauch-Goldner,entertainment,46.83,Jennifer,Rodriguez,F,9535 Jones St,New York,NY,61293,44.6756,-84.8171,8336817,Engineer,1980-01-07,7a540ff321,1578403302,44.7042,-84.6538,0
2019-02-12 17:55:05,7825682985685507,fraud_Bernhard Inc,home,125.16,Elizabeth,Davis,M,9187 Brown St,San Diego,CA,69275,33.9279,-87.8356,1423851,Engineer,1962-02-12,607d602c2a,1549974305,33.8142,-87.9645,0
2019-12-08 01:51:08,2656902532040738,fraud_Kozey-McGlynn,grocery_net,17.58,Barbara,Garcia,M,6848 Wilson St,San Jose,CA,85353,32.8344,-106.9653,1021795,Developer,1966-12-08,ba75e39589,1575750068,32.976,-107.0948,0
2019-10-27 06:28:39,1303399824457702,fraud_Bauch-Goldner,gas_transport,164.0,John,Davis,F,5744 Davis St,Dallas,TX,78450,27.3718,-74.8724,1343573,Engineer,1990-10-27,d4303e04e8,1572137919,27.5389,-74.9389,0
2020-07-08 12:39:36,7454105903994222,fraud_Bernhard Inc,gas_transport,105.89,Michael,Jones,M,7366 Rodriguez St,Houston,TX,21130,29.8927,-72.6903,2320268,Writer,1998-07-09,ba2bb77cd6,1594192176,29.8612,-72.7942,0
2019-05-15 12:57:46,1996071063624592,fraud_Kuhn-Goldner,health_fitness,6.4,William,Garcia,F,6413 Rodriguez St,Los Angeles,CA,98858,41.2436,-115.9326,3979576,Artist,1985-05-15,9aa21ecf23,1557905266,41.441,-115.7586,0
2019-09-25 05:29:02,4486319041238873,fraud_Reinger Group,kids_pets,17.62,Robert,Johnson,M,9535 Wilson St,Houston,TX,65771,42.6455,-78.8605,2320268,Engineer,1977-09-25,4ecfba2ba0,1569369542,42.7849,-79.0533,0
2020-05-16 22:49:41,8761653976396948,fraud_Bernhard Inc,grocery_net,134.43,Jennifer,Jones,M,5448 Brown St,Chicago,IL,40354,47.294,-93.8451,2693012,Manager,2000-05-16,a7052989d6,1589649581,47.1518,-93.6459,0
2019-10-05 06:06:01,1284341161546100,fraud_Emard-Ullrich,misc_pos,183.54,Barbara,Brown,F,3819 Wilson St,Jacksonville,FL,41921,31.1166,-101.9827,911507,Nurse,1973-10-05,a431a96e2d,1570235761,31.0205,-102.0946,0
2019-05-31 17:06:13,5222167311403831,fraud_Glover-Hansen,food_dining,158.86,Michael,Davis,F,1115 Smith St,Philadelphia,PA,37712,36.0485,-70.7357,1584064,Engineer,1969-05-31,7851e41068,1559302573,35.8961,-70.93,0
2020-01-22 20:22:24,4072881595350878,fraud_Bauch-Goldner,misc_pos,3.74,Jennifer,Williams,M,1560 Davis St,Phoenix,AZ,79172,46.7296,-77.5176,1680992,Artist,1941-01-22,d7f46b7b70,1579704744,46.8252,-77.5754,0
2019-01-02 01:36:33,6315732743713205,fraud_Kunde-Reinger,health_fitness,5.22,Mary,Smith,F,1177 Jones St,Austin,TX,52808,38.569,-95.9977,978908,Accountant,1964-01-03,d64c301afb,1546373193,38.7281,-96.1415,0
2020-12-13 17:43:13,7458250953566177,fraud_Kuhn-Goldner,travel,18.43,John,Garcia,M,9650 Davis St,San Jose,CA,53088,46.839,-112.6463,1021795,Teacher,1997-12-14,4ba166fdc1,1607861593,46.9425,-112.6689,0
2020-02-22 14:36:26,3142632846506831,fraud_Kling-Simonis,food_dining,15.63,Jennifer,Garcia,M,9191 Garcia St,Houston,TX,51240,45.6261,-96.3019,2320268,Nurse,1961-02-22,53509b4215,1582362386,45.6689,-96.3544,0
2020-07-13 18:44:16,7095351029167181,fraud_Glover-Hansen,misc_net,16.4,David,Wilson,F,6290 Rodriguez St,Philadelphia,PA,20478,36.7681,-112.1511,1584064,Doctor,1951-07-14,e5d1d4e92e,1594646056,36.7786,-112.3143,0
2019-01-08 08:33:25,6556389516296556,"fraud_Stanton, Kihn and Kuhlman",misc_net,50.94,Elizabeth,Williams,F,5226 Williams St,San Antonio,TX,94717,42.2412,-118.4764,1547253,Accountant,1974-01-08,e0d8d6ec26,1546916605,42.1639,-118.5325,0
2020-02-18 17:44:06,3830197018963155,fraud_Nader-Gaylord,food_dining,27.83,Barbara,Williams,M,332 Johnson St,Houston,TX,36069,38.4973,-82.728,2320268,Writer,1939-02-18,cec804113a,1582028046,38.4631,-82.6539,0
2020-08-20 18:09:40,3258694292575734,fraud_Bernhard Inc,grocery_pos,51.13,Patricia,Garcia,F,9452 Davis St,Chicago,IL,34818,25.4196,-85.1519,2693012,Manager,1952-08-20,5536627db8,1597927180,28.5784,-81.7527,0
2019-07-08 05:44:42,1590738254362009,fraud_Nader-Gaylord,misc_pos,12.5,Robert,Brown,M,324 Brown St,New York,NY,77584,39.0443,-105.5685,8336817,Engineer,1996-07-08,c8bcc1cff7,1562544882,39.0836,-105.6394,0
2019-02-13 11:52:54,9591941435400512,fraud_Bauch-Goldner,home,8.89,David,Smith,F,2924 Garcia St,Philadelphia,PA,36614,43.2687,-114.665,1584064,Salesperson,1968-02-14,62a98c07e2,1550038974,43.4204,-114.6314,0
2019-12-02 07:52:07,6610854201860968,fraud_Bauch-Goldner,grocery_net,2.73,Robert,Jones,F,2998 Wilson St,Houston,TX,26984,45.1756,-100.3777,2320268,Manager,1979-12-02,55c929308e,1575253327,45.269,-100.5587,0
2020-07-31 06:11:28,5097223690381415,fraud_Reinger Group,misc_net,107.58,Robert,Miller,M,5865 Williams St,San Antonio,TX,93122,32.7028,-113.0364,1547253,Artist,1974-08-01,3d091465b8,1596156088,32.8306,-113.1873,0
2020-12-02 14:49:08,4631969354153481,fraud_Bauch-Goldner,gas_transport,6.41,Barbara,Smith,F,6128 Brown St,San Diego,CA,74435,34.1376,-80.1352,1423851,Doctor,1967-12-03,3affce6b19,1606900748,34.1912,-80.2919,0
2019-04-07 17:39:16,6537713509774023,"fraud_Haley, Jewess and Bechtelar",home,112.86,Barbara,Wilson,F,7883 Johnson St,Dallas,TX,25328,25.4165,-76.3938,1343573,Developer,1971-04-07,905a1bbf88,1554638956,25.5339,-76.5539,0
2019-04-13 20:42:04,5652034183473965,fraud_Bauch-Goldner,travel,65.24,Michael,Wilson,M,1745 Brown St,Philadelphia,PA,29256,32.6394,-104.4278,1584064,Writer,1950-04-13,4f49a67874,1555168324,32.5139,-104.4482,0
2019-09-01 04:44:18,3851589701771142,"fraud_Heller, Moore and Reinger",travel,27.98,John,Williams,F,1305 Garcia St,Dallas,TX,77526,28.8068,-118.306,1343573,Teacher,1953-09-01,de4233fb50,1567293258,28.6485,-118.1759,0
2020-02-04 13:22:56,5462025630699846,"fraud_Rempel, Gohan and Kertzmann",grocery_net,69.97,William,Williams,F,8158 Garcia St,Chicago,IL,12079,35.7693,-88.7512,2693012,Doctor,1956-02-04,87af0f5071,1580802776,35.6004,-88.7287,0
2020-12-27 12:40:30,6838966692590367,fraud_Adams-Frazier,kids_pets,15.25,Barbara,Williams,M,6405 Smith St,San Antonio,TX,91974,28.5915,-84.2014,1547253,Developer,1949-12-28,49ef914660,1609053030,28.5764,-84.2596,0
2019-04-13 13:22:15,5200648984607533,fraud_Kling-Simonis,misc_net,10.75,Patricia,Brown,F,8456 Miller St,Phoenix,AZ,96925,31.7424,-75.1832,1680992,Doctor,1966-04-13,33b45962bb,1555141935,31.7162,-75.0121,0
2019-08-06 10:22:56,6494815214105282,fraud_Ledner-Goodwin,health_fitness,15.64,Patricia,Jones,M,904 Miller St,Dallas,TX,72516,31.7727,-72.5773,1343573,Accountant,1988-08-06,1fd31f7227,1565067176,31.8093,-72.6948,0
2020-08-15 19:08:08,1501390755289753,fraud_Glover-Hansen,travel,6.25,Mary,Davis,F,9096 Miller St,Los Angeles,CA,71268,43.7463,-95.0955,3979576,Nurse,1976-08-15,4f8cb0251e,1597498688,43.8332,-95.2631,0
2019-07-02 02:15:03,1962665012192940,fraud_Kozey-McGlynn,grocery_pos,36.09,Barbara,Jones,M,7743 Wilson St,Los Angeles,CA,48709,41.9748,-115.8601,3979576,Artist,1943-07-02,3de4ba62e7,1562013903,41.9182,-116.0291,0
2019-12-29 21:42:57,7576416192091424,fraud_Nader-Gaylord,shopping_pos,108.84,Patricia,Williams,M,1862 Brown St,Austin,TX,22112,36.4164,-90.1579,978908,Engineer,2001-12-29,c1e1a02e67,1577635977,36.26,-90.0824,0
2020-08-20 20:48:38,8641271974448605,fraud_Kuhn-Goldner,misc_pos,3.83,Mary,Williams,F,9928 Smith St,New York,NY,59481,40.8829,-93.935,8336817,Engineer,1978-08-21,e8c5c1dc58,1597936718,40.6908,-94.0841,0
2019-10-10 02:47:22,9183420229624208,fraud_Reinger Group,health_fitness,1427.28,Michael,Davis,F,4332 Williams St,San Diego,CA,93441,34.7005,-80.2329,1423851,Accountant,1985-10-10,24e11c0c9e,1570655842,34.6801,-80.1623,0
2020-11-17 02:39:39,1575763735083993,fraud_Ledner-Goodwin,grocery_pos,3.8,William,Garcia,M,6740 Brown St,Philadelphia,PA,17564,39.3955,-75.7011,1584064,Accountant,1990-11-18,a3aac25d11,1605560979,39.3412,-75.6033,0
2019-04-05 20:36:50,4034585099465180,fraud_Ledner-Goodwin,grocery_net,1.33,David,Garcia,F,1871 Rodriguez St,San Jose,CA,60072,32.7365,-93.874,1021795,Teacher,1984-04-05,d4df46b924,1554476810,32.7259,-93.7967,0
2019-04-22 19:04:32,9265403102602179,fraud_Ledner-Goodwin,personal_care,56.77,Barbara,Jones,M,9230 Miller St,San Antonio,TX,66638,46.7288,-96.6299,1547253,Artist,1939-04-22,4ce40b8b74,1555940072,46.7706,-96.6076,0
2020-06-29 00:16:45,8435932530616825,fraud_Kunde-Reinger,health_fitness,7.8,Elizabeth,Miller,M,1896 Miller St,San Antonio,TX,56600,46.3383,-70.2546,1547253,Developer,2000-06-29,b6bf1706e2,1593370005,46.4236,-70.3579,0
2019-09-09 21:53:59,5861370796060257,fraud_Kling-Simonis,gas_transport,2.24,David,Garcia,F,7590 Rodriguez St,Chicago,IL,98801,44.8289,-79.5242,2693012,Manager,1997-09-09,c6c7689e59,1568046239,44.7143,-79.4607,0
2020-03-23 05:48:20,3447856745026673,fraud_Emard-Ullrich,grocery_pos,41.24,Robert,Wilson,M,1691 Garcia St,Los Angeles,CA,81719,38.0118,-106.6486,3979576,Salesperson,1990-03-24,818591b22c,1584922700,38.1733,-106.7052,0
2020-02-15 21:27:05,6339799183474410,fraud_Glover-Hansen,misc_pos,43.02,Barbara,Rodriguez,M,5250 Davis St,San Jose,CA,12719,32.7077,-82.8246,1021795,Accountant,1937-02-15,449c080e9a,1581782225,32.8731,-82.6708,0
2019-12-05 16:51:28,2111203080438767,fraud_Kuhn-Goldner,home,17.55,Robert,Davis,M,5452 Johnson St,Jacksonville,FL,36660,27.3577,-73.1386,911507,Manager,1985-12-05,a0c1b30b75,1575544888,27.3348,-73.097,0
2020-07-27 16:22:49,5999131345477916,fraud_Ledner-Goodwin,misc_net,67.97,Patricia,Williams,F,5143 Davis St,Austin,TX,54064,32.443,-95.5678,978908,Artist,1990-07-28,2613ef8b76,1595847169,32.5829,-95.5276,0
2019-03-16 12:53:30,4953934571875786,fraud_Kunde-Reinger,misc_net,4.01,John,Garcia,F,1088 Jones St,Phoenix,AZ,38602,47.184,-81.9953,1680992,Teacher,1941-03-16,b9506f4f3f,1552721010,47.2532,-82.1752,0
2020-08-09 12:48:23,2218513083472301,fraud_Kozey-McGlynn,travel,70.92,Michael,Garcia,F,8882 Johnson St,Houston,TX,49110,39.4031,-113.4378,2320268,Salesperson,1986-08-10,94f7f81ceb,1596957503,39.2181,-113.483,0
2020-07-27 12:58:48,5461767801225332,"fraud_Heller, Moore and Reinger",shopping_pos,24.68,Elizabeth,Garcia,F,8686 Smith St,San Diego,CA,36589,34.0274,-96.0031,1423851,Manager,1962-07-28,9f01e1ab0a,1595834928,33.9619,-95.8492,0
2020-07-09 18:28:39,6556719161123407,"fraud_Rempel, Gohan and Kertzmann",misc_net,4.8,Barbara,Garcia,F,6147 Johnson St,Jacksonville,FL,59153,37.2876,-75.8733,911507,Manager,1957-07-10,91156a27f1,1594299519,37.4542,-75.7879,0
2020-05-08 19:07:21,8766687699878522,fraud_Kuhn-Goldner,travel,4.87,David,Miller,M,3244 Davis St,Dallas,TX,74881,46.5096,-72.6325,1343573,Artist,1999-05-09,9d19b15539,1588945041,46.3508,-72.7973,0
2020-08-27 04:05:18,2605058161425361,fraud_Ledner-Goodwin,health_fitness,27.16,William,Rodriguez,F,1366 Wilson St,Chicago,IL,30022,35.8142,-82.786,2693012,Manager,1985-08-28,3c4786a55f,1598481318,35.9066,-82.6814,0
2020-03-18 12:19:06,8767347072614325,"fraud_Haley, Jewess and Bechtelar",entertainment,8.79,John,Davis,M,7105 Jones St,San Jose,CA,10956,44.4636,-88.5618,1021795,Doctor,1967-03-19,78c50d3dff,1584514146,44.6195,-88.5794,0
2019-07-17 12:38:38,2202257054576825,fraud_Ledner-Goodwin,health_fitness,113.26,Robert,Johnson,M,3058 Smith St,Chicago,IL,29975,34.3221,-89.9072,2693012,Manager,1961-07-17,546165adf5,1563347318,34.403,-89.9516,0
2020-01-24 00:01:50,1860806637728581,fraud_Kozey-McGlynn,gas_transport,31.31,David,Rodriguez,F,8319 Johnson St,Chicago,IL,23760,42.7899,-113.4563,2693012,Writer,1993-01-24,631ca89b5d,1579804310,41.0924,-110.3401,0
2020-08-16 05:37:08,1917264823475061,fraud_Kling-Simonis,personal_care,34.6,Michael,Jones,M,3668 Garcia St,Jacksonville,FL,89671,38.4632,-76.5864,911507,Nurse,1983-08-17,305289531c,1597536428,38.4944,-76.7839,0
2019-10-23 20:01:38,8357865604741810,"fraud_Stanton, Kihn and Kuhlman",grocery_pos,96.07,Barbara,Brown,M,2840 Johnson St,San Diego,CA,75661,46.8917,-88.044,1423851,Manager,1979-10-23,966a707e7d,1571841098,46.7953,-88.1531,0
2019-03-19 08:05:35,7655705063481472,fraud_Emard-Ullrich,home,159.93,Jennifer,Jones,F,9810 Miller St,Los Angeles,CA,58320,44.2767,-72.7693,3979576,Developer,1956-03-19,daf5a6e320,1552962935,44.1722,-72.9372,0
2019-06-17 18:57:34,3724973562830781,"fraud_Heller, Moore and Reinger",grocery_pos,18.52,Mary,Miller,M,674 Rodriguez St,New York,NY,83384,47.8467,-82.3786,8336817,Manager,1998-06-17,7cb8a2f812,1560778054,47.7819,-82.5555,0
2020-09-02 16:44:01,4393643155424599,fraud_Reinger Group,grocery_net,97.58,David,Jones,M,3826 Smith St,Jacksonville,FL,19108,33.7497,-92.575,911507,Doctor,1937-09-03,c4c8941708,1599045241,33.636,-92.5218,0
2019-07-16 18:51:05,6344572869444761,fraud_Ledner-Goodwin,misc_pos,177.08,Michael,Johnson,M,4499 Jones St,Jacksonville,FL,56819,38.9818,-81.7558,911507,Accountant,1955-07-16,8c2e5c3c7b,1563283265,38.8354,-81.8649,0
2020-11-30 07:52:03,2110322896081682,"fraud_Heller, Moore and Reinger",grocery_pos,59.04,Patricia,Jones,M,3710 Williams St,San Diego,CA,64691,41.5056,-100.0047,1423851,Writer,1964-11-30,a377b7e09e,1606702923,44.4221,-100.8025,0
2020-10-14 13:01:43,4892629721425347,fraud_Reinger Group,home,8.17,Jennifer,Smith,F,5391 Garcia St,San Jose,CA,86666,25.0594,-88.1007,1021795,Developer,1961-10-15,5f0d920097,1602660703,25.1822,-88.0505,0
2019-05-05 01:19:21,2845407533112379,fraud_Reinger Group,home,13.59,Barbara,Rodriguez,M,245 Williams St,Houston,TX,75481,35.3907,-90.6696,2320268,Engineer,1980-05-05,c69867f324,1556999361,35.5407,-90.7694,0
2020-10-25 08:03:39,4312057993632252,"fraud_Heller, Moore and Reinger",food_dining,36.56,Robert,Davis,F,9869 Miller St,San Antonio,TX,65754,47.7989,-113.5803,1547253,Artist,1967-10-26,99af2b2848,1603593219,47.9465,-113.7623,0
2020-01-29 00:42:34,6905730646249089,fraud_Bauch-Goldner,grocery_net,34.6,Michael,Garcia,M,7497 Garcia St,Los Angeles,CA,83794,37.258,-103.7833,3979576,Engineer,1968-01-29,78babb0dd6,1580238754,37.1208,-103.7014,0
2020-10-21 12:33:11,4586455274531102,"fraud_Haley, Jewess and Bechtelar",grocery_pos,4.25,David,Davis,M,307 Wilson St,Dallas,TX,78619,32.9941,-86.7544,1343573,Developer,1998-10-22,5820066678,1603263791,32.808,-86.7872,0
2020-12-07 10:00:37,8084220019124683,fraud_Kuhn-Goldner,personal_care,55.27,Patricia,Johnson,M,3825 Brown St,New York,NY,15782,31.0516,-101.9932,8336817,Artist,1941-12-08,ae39b72e99,1607315437,30.8636,-102.1,0
2019-01-03 16:56:22,7469957594079475,fraud_Adams-Frazier,shopping_pos,55.01,John,Wilson,F,8885 Williams St,San Diego,CA,55033,44.9653,-79.7037,1423851,Teacher,2000-01-04,b9a110e5d1,1546514782,44.8974,-79.775,0
2020-06-08 00:24:49,4653906119816480,fraud_Nader-Gaylord,food_dining,61.5,John,Miller,M,8529 Brown St,Chicago,IL,45298,34.1692,-112.6813,2693012,Artist,1958-06-09,d30f4e440b,1591556089,34.1922,-112.7875,0
2020-06-12 01:35:27,8542495601547067,fraud_Kuhn-Goldner,gas_transport,97.46,Mary,Davis,F,6710 Williams St,Phoenix,AZ,52913,35.5754,-117.0918,1680992,Doctor,1994-06-13,795b91d894,1591905927,35.9661,-118.2731,0
2019-11-15 03:40:45,3670729348298499,fraud_Reinger Group,misc_pos,7.85,Elizabeth,Smith,M,1482 Brown St,Houston,TX,22411,44.5044,-83.7841,2320268,Manager,1988-11-15,de04450ee4,1573769445,44.5913,-83.8311,0
2020-06-15 18:20:52,3754232777413349,"fraud_Haley, Jewess and Bechtelar",travel,19.83,Michael,Wilson,M,7738 Wilson St,San Diego,CA,15542,39.2358,-103.825,1423851,Artist,1943-06-16,a1bcc8fabe,1592225452,39.1062,-103.9873,0
2019-01-20 14:23:59,9433474274103919,fraud_Emard-Ullrich,gas_transport,24.45,Robert,Rodriguez,F,9751 Miller St,San Jose,CA,65316,46.9931,-113.3427,1021795,Engineer,1992-01-21,32eb968aca,1547974439,46.858,-113.202,0
2020-07-18 03:46:15,8827794871870295,fraud_Glover-Hansen,personal_care,145.5,Robert,Jones,F,7183 Smith St,San Antonio,TX,51991,25.9585,-115.7604,1547253,Nurse,1983-07-19,2babb058e7,1595024175,25.9822,-115.7904,0
2019-12-25 13:55:47,3526795208778290,fraud_Kling-Simonis,kids_pets,53.15,Barbara,Jones,M,9064 Miller St,San Diego,CA,15439,34.7588,-115.8691,1423851,Salesperson,1936-12-25,e57d1ed3b1,1577262347,34.9396,-116.0253,0
2019-09-27 02:32:03,9251550851144446,fraud_Adams-Frazier,grocery_net,826.1,Michael,Brown,M,8943 Garcia St,Los Angeles,CA,69765,36.1784,-73.9851,3979576,Engineer,1962-09-27,a881f750b6,1569531723,38.5279,-74.8694,1
2019-02-19 08:33:43,4776913811648499,fraud_Ledner-Goodwin,food_dining,21.26,Robert,Smith,F,7131 Jones St,Chicago,IL,40841,43.7668,-76.9315,2693012,Nurse,1994-02-19,4502f54567,1550545423,43.9514,-76.8006,0
2020-03-09 10:53:10,6436991666840920,fraud_Glover-Hansen,shopping_pos,7.84,Mary,Johnson,F,4658 Brown St,Austin,TX,58689,29.9108,-94.7074,978908,Developer,2000-03-09,d563952e75,1583731390,29.7615,-94.8614,0
2019-03-10 20:44:12,4814086265173102,fraud_Emard-Ullrich,food_dining,31.13,Barbara,Wilson,F,3827 Garcia St,New York,NY,65147,41.7086,-70.4095,8336817,Writer,1981-03-10,971922812d,1552230852,41.7949,-70.5444,0
2019-01-27 02:02:02,5305288124873301,fraud_Adams-Frazier,food_dining,17.46,Barbara,Wilson,F,3183 Smith St,Dallas,TX,29873,42.4496,-86.0811,1343573,Writer,1998-01-27,85bb4f0d7c,1548534722,42.6195,-86.2576,0
2020-07-10 13:05:27,8656130085128167,fraud_Reinger Group,shopping_pos,6.19,Michael,Wilson,M,5991 Rodriguez St,Houston,TX,69664,38.5287,-95.9514,2320268,Artist,1979-07-11,b8e1e7269d,1594366527,38.551,-95.8985,0
2019-07-28 13:41:50,9217293331284631,fraud_Glover-Hansen,misc_net,14.61,Barbara,Miller,M,967 Williams St,Houston,TX,15469,32.5484,-98.299,2320268,Salesperson,1957-07-28,b7b44dd190,1564301510,32.4965,-98.4613,0
2020-08-09 03:40:03,9242273083574395,fraud_Kling-Simonis,shopping_pos,5.41,William,Rodriguez,M,3571 Jones St,Dallas,TX,18329,32.6938,-118.6902,1343573,Doctor,1984-08-09,c122c34a22,1596924603,32.5257,-118.8327,0
2020-10-25 21:26:10,3246939878603849,fraud_Bauch-Goldner,gas_transport,22.68,Patricia,Miller,M,9917 Brown St,San Antonio,TX,66614,36.4186,-98.1575,1547253,Salesperson,1972-10-25,6af0a51e97,1603641370,36.5741,-98.1047,0
2020-10-28 05:57:40,9766248478675846,fraud_Kunde-Reinger,misc_net,3.06,William,Garcia,F,1005 Miller St,San Jose,CA,17896,42.8643,-116.7317,1021795,Salesperson,1982-10-29,da99272ab1,1603844860,42.8807,-116.8594,0
2019-06-28 15:00:22,1286504933119447,"fraud_Haley, Jewess and Bechtelar",home,10.46,William,Jones,M,1549 Wilson St,Jacksonville,FL,32669,41.8089,-70.9351,911507,Doctor,1990-06-28,bf4e1b00a0,1561714222,41.9432,-70.9815,0
2019-11-23 10:38:59,4387735012078160,"fraud_Heller, Moore and Reinger",shopping_pos,4.26,Barbara,Rodriguez,M,6666 Miller St,New York,NY,96544,39.0967,-108.6926,8336817,Salesperson,1936-11-23,60becfe861,1574485739,39.0053,-108.503,0
2019-12-16 19:46:58,6453195902440741,fraud_Adams-Frazier,home,28.59,Robert,Williams,M,1954 Smith St,San Antonio,TX,28708,28.7882,-103.4892,1547253,Manager,1988-12-16,b23acdc57c,1576505818,28.8969,-103.5232,0
2019-01-31 13:18:49,8413970243958013,fraud_Kunde-Reinger,shopping_net,29.57,Elizabeth,Smith,M,1677 Brown St,Chicago,IL,31253,33.5545,-97.4152,2693012,Writer,1994-01-31,aea3c5b1fb,1548920929,33.5267,-97.2219,0
2020-06-21 16:48:36,4154297675037225,fraud_Kuhn-Goldner,misc_net,56.97,Mary,Davis,F,5043 Williams St,Chicago,IL,10282,31.3688,-70.8239,2693012,Nurse,1999-06-22,845dd4cef5,1592738316,31.4172,-70.7448,0
2020-02-16 01:16:56,1136807525033846,fraud_Glover-Hansen,personal_care,25.63,Mary,Brown,M,1023 Miller St,San Jose,CA,36170,28.7314,-119.3696,1021795,Nurse,1942-02-16,201a250d73,1581796016,28.6212,-119.2033,0
2019-03-10 06:34:45,7416400471274859,fraud_Ledner-Goodwin,travel,14.21,David,Jones,F,9446 Wilson St,Phoenix,AZ,95751,27.0051,-84.0461,1680992,Salesperson,1979-03-10,c6dc3d8b7f,1552179885,26.8231,-83.9506,0
2020-10-24 06:25:08,7527938515362515,fraud_Bernhard Inc,travel,65.97,Mary,Johnson,M,4678 Garcia St,San Diego,CA,10155,40.6784,-111.6434,1423851,Doctor,1999-10-25,d0cbb43f98,1603500908,40.48,-111.7065,0
2019-02-19 20:24:46,7101386557005811,"fraud_Stanton, Kihn and Kuhlman",grocery_pos,2.18,Patricia,Smith,M,4746 Rodriguez St,Chicago,IL,60939,40.2947,-106.9857,2693012,Developer,1956-02-20,3c8281e88d,1550588086,40.1572,-106.9435,0
